decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled
27,26,1,21,32
45,41,1,40,76
71,67,1,61,151
104,103,1,90,217
126,128,1,121,315
150,144,1,160,452
186,208,1,201,543
195,227,1,250,621
212,253,1,301,785
238,271,1,360,993
263,302,1,421,1077
291,345,1,490,1283
307,371,1,561,1395
321,394,1,640,1745
354,431,1,721,1760
362,452,1,810,2225
392,482,1,901,2522
420,521,1,1000,2655
438,550,1,1101,3023
468,586,1,1210,3369
483,598,1,1321,3600
502,623,1,1440,4049
515,651,1,1561,4302
554,678,1,1690,4790
566,721,1,1821,4570
596,735,1,1960,4700
606,766,1,2101,5834
